Country,ObservatoryID,UnitID,DateDeployed,DateCollected,EventID,MaterialSampleID,Fraction,Preservative,Filter,CrateCover,Number of associated data files,Number of ENA sequences
SVN,GulfOfPiran,Fornace,15/08/2018,18/11/2018,ARMS_GulfOfPiran_Fornace_20180815_20181118,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,Sessile,EtOH,not provided,not provided,154,4
SWE,Koster,VH1,18/04/2018,27/05/2019,ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,Motile,DMSO,100,Yes,117,6
SWE,Koster,VH1,18/04/2018,27/05/2019,ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,Motile,DMSO,500,Yes,117,6
SWE,Koster,VH1,18/04/2018,27/05/2019,ARMS_Koster_VH1_20180418_20190527,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,Sessile,DMSO,40,Yes,117,6
SWE,Koster,VH1,27/05/2019,16/07/2020,ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_MF100,Motile,DMSO,100,not provided,36,6
SWE,Koster,VH1,27/05/2019,16/07/2020,ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_MF500,Motile,DMSO,500,not provided,36,6
SWE,Koster,VH1,27/05/2019,16/07/2020,ARMS_Koster_VH1_20190527_20200716,ARMS_Koster_VH1_20190527_20200716_SF40,Sessile,DMSO,40,not provided,36,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,Motile,EtOH,100,Yes,76,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,Motile,EtOH,500,Yes,76,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,Plankton,EtOH,90,N/A (Not relevant information for this fraction/sample),76,4
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SED100_DMSO,Sediment,DMSO,100,N/A (Not relevant information for this fraction/sample),76,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,Sediment,DMSO,500,N/A (Not relevant information for this fraction/sample),76,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,Sessile,DMSO,40,Yes,76,6
SWE,Koster,VH2,18/04/2018,06/09/2018,ARMS_Koster_VH2_20180418_20180906,ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,Sessile,EtOH,40,Yes,76,6
SWE,Koster,VH2,27/05/2019,16/07/2020,ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_MF100,Motile,DMSO,100,not provided,27,6
SWE,Koster,VH2,27/05/2019,16/07/2020,ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_MF500,Motile,DMSO,500,not provided,27,6
SWE,Koster,VH2,27/05/2019,16/07/2020,ARMS_Koster_VH2_20190527_20200716,ARMS_Koster_VH2_20190527_20200716_SF40,Sessile,DMSO,40,not provided,27,6
SWE,Koster,VH3,18/04/2018,27/05/2019,ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,Motile,DMSO,100,Yes,109,6
SWE,Koster,VH3,18/04/2018,27/05/2019,ARMS_Koster_VH3_20180418_20190527,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,Motile,DMSO,500,Yes,109,6
